host,guid,role,version
"SearchHead-28273","A3D1E53F-4D36-453B-B9CA-736A8362D935",indexer,"6.3.0"
"SearchHead-28273","A3D1E53F-4D36-453B-B9CA-736A8362D935","cluster_search_head","6.3.0"
"SearchHead-28273","A3D1E53F-4D36-453B-B9CA-736A8362D935","search_head","6.3.0"
"SearchHead-28273","A3D1E53F-4D36-453B-B9CA-736A8362D935","kv_store","6.3.0"
"SearchHead-28273","A3D1E53F-4D36-453B-B9CA-736A8362D935","shc_captain","6.3.0"
"PeerNode-7851","BCA2A659-1866-41CC-AC96-24CD2617A2AE",indexer,"6.3.0"
"PeerNode-7851","BCA2A659-1866-41CC-AC96-24CD2617A2AE","cluster_slave","6.3.0"
"PeerNode-24475","ABFBB537-2F64-4EB1-A6C6-064028D0B093",indexer,"6.3.0"
"PeerNode-24475","ABFBB537-2F64-4EB1-A6C6-064028D0B093","cluster_slave","6.3.0"
"PeerNode-21838","B4A46596-3740-47AA-837B-C3353F15DFF2",indexer,"6.3.0"
"PeerNode-21838","B4A46596-3740-47AA-837B-C3353F15DFF2","cluster_slave","6.3.0"
"PeerNode-4884","ECF28C90-FD78-47C3-AB52-CEDC750F3D35",indexer,"6.3.0"
"PeerNode-4884","ECF28C90-FD78-47C3-AB52-CEDC750F3D35","cluster_slave","6.3.0"
