EventCode,NTSyslogID,action
0,S0,success
0,F0,failure
1,S1,success
1,F1,failure
2,S2,success
2,F2,failure
3,S3,success
3,F3,failure
4,S4,success
4,F4,failure
5,S5,success
5,F5,failure
6,S6,success
6,F6,failure
7,S7,success
7,F7,failure
8,S8,success
8,F8,failure
9,S9,success
9,F9,failure
10,S10,success
10,F10,failure
11,S11,success
11,F11,failure
12,S12,success
12,F12,failure
13,S13,success
13,F13,failure
14,S14,success
14,F14,failure
15,S15,success
15,F15,failure
16,S16,success
16,F16,failure
17,S17,success
17,F17,failure
18,S18,success
18,F18,failure
19,S19,success
19,F19,failure
20,S20,success
20,F20,failure
21,S21,success
21,F21,failure
22,S22,success
22,F22,failure
23,S23,success
23,F23,failure
24,S24,success
24,F24,failure
25,S25,success
25,F25,failure
26,S26,success
26,F26,failure
27,S27,success
27,F27,failure
28,S28,success
28,F28,failure
29,S29,success
29,F29,failure
30,S30,success
30,F30,failure
31,S31,success
31,F31,failure
32,S32,success
32,F32,failure
33,S33,success
33,F33,failure
34,S34,success
34,F34,failure
35,S35,success
35,F35,failure
36,S36,success
36,F36,failure
37,S37,success
37,F37,failure
38,S38,success
38,F38,failure
39,S39,success
39,F39,failure
40,S40,success
40,F40,failure
41,S41,success
41,F41,failure
42,S42,success
42,F42,failure
43,S43,success
43,F43,failure
44,S44,success
44,F44,failure
45,S45,success
45,F45,failure
46,S46,success
46,F46,failure
47,S47,success
47,F47,failure
48,S48,success
48,F48,failure
49,S49,success
49,F49,failure
50,S50,success
50,F50,failure
51,S51,success
51,F51,failure
52,S52,success
52,F52,failure
53,S53,success
53,F53,failure
54,S54,success
54,F54,failure
55,S55,success
55,F55,failure
56,S56,success
56,F56,failure
57,S57,success
57,F57,failure
58,S58,success
58,F58,failure
59,S59,success
59,F59,failure
60,S60,success
60,F60,failure
61,S61,success
61,F61,failure
62,S62,success
62,F62,failure
63,S63,success
63,F63,failure
64,S64,success
64,F64,failure
65,S65,success
65,F65,failure
66,S66,success
66,F66,failure
67,S67,success
67,F67,failure
68,S68,success
68,F68,failure
69,S69,success
69,F69,failure
70,S70,success
70,F70,failure
71,S71,success
71,F71,failure
72,S72,success
72,F72,failure
73,S73,success
73,F73,failure
74,S74,success
74,F74,failure
75,S75,success
75,F75,failure
76,S76,success
76,F76,failure
77,S77,success
77,F77,failure
78,S78,success
78,F78,failure
79,S79,success
79,F79,failure
80,S80,success
80,F80,failure
81,S81,success
81,F81,failure
82,S82,success
82,F82,failure
83,S83,success
83,F83,failure
84,S84,success
84,F84,failure
85,S85,success
85,F85,failure
86,S86,success
86,F86,failure
87,S87,success
87,F87,failure
88,S88,success
88,F88,failure
89,S89,success
89,F89,failure
90,S90,success
90,F90,failure
91,S91,success
91,F91,failure
92,S92,success
92,F92,failure
93,S93,success
93,F93,failure
94,S94,success
94,F94,failure
95,S95,success
95,F95,failure
96,S96,success
96,F96,failure
97,S97,success
97,F97,failure
98,S98,success
98,F98,failure
99,S99,success
99,F99,failure
100,S100,success
100,F100,failure
101,S101,success
101,F101,failure
102,S102,success
102,F102,failure
103,S103,success
103,F103,failure
104,S104,success
104,F104,failure
105,S105,success
105,F105,failure
106,S106,success
106,F106,failure
107,S107,success
107,F107,failure
108,S108,success
108,F108,failure
109,S109,success
109,F109,failure
110,S110,success
110,F110,failure
111,S111,success
111,F111,failure
112,S112,success
112,F112,failure
113,S113,success
113,F113,failure
114,S114,success
114,F114,failure
115,S115,success
115,F115,failure
116,S116,success
116,F116,failure
117,S117,success
117,F117,failure
118,S118,success
118,F118,failure
119,S119,success
119,F119,failure
120,S120,success
120,F120,failure
121,S121,success
121,F121,failure
122,S122,success
122,F122,failure
123,S123,success
123,F123,failure
124,S124,success
124,F124,failure
125,S125,success
125,F125,failure
126,S126,success
126,F126,failure
127,S127,success
127,F127,failure
128,S128,success
128,F128,failure
129,S129,success
129,F129,failure
130,S130,success
130,F130,failure
131,S131,success
