confidence,dateAdded,id,ip,lastModified,ownerName,rating,webLink
100,2014-10-20T20:58:28Z,304990,173.255.217.77,2014-10-20T20:58:28Z,Common Community,3,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=173.255.217.77&owner=Common+Community
100,2014-10-20T20:58:28Z,304989,210.253.96.200,2014-10-20T20:58:28Z,Common Community,2,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=210.253.96.200&owner=Common+Community
100,2014-10-20T20:58:28Z,304988,58.64.178.77,2014-10-20T20:58:28Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=58.64.178.77&owner=Common+Community
100,2014-10-14T21:49:12Z,302871,94.185.85.122,2014-10-14T22:38:59Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=94.185.85.122&owner=Common+Community
70,2014-10-07T14:27:03Z,299686,93.120.27.30,2014-10-07T14:27:03Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=93.120.27.30&owner=Common+Community
70,2014-10-07T14:27:03Z,299685,88.150.239.157,2014-10-07T14:27:03Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=88.150.239.157&owner=Common+Community
90,2014-10-02T19:26:00Z,298501,211.125.81.203,2014-10-02T19:26:00Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=211.125.81.203&owner=Common+Community
90,2014-10-02T19:25:58Z,298496,210.253.101.105,2014-10-02T19:25:58Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=210.253.101.105&owner=Common+Community
0,2014-09-26T06:06:53Z,295158,185.31.209.84,2014-09-26T06:07:49Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=185.31.209.84&owner=Common+Community
100,2014-09-26T02:22:54Z,295103,113.10.223.171,2014-09-30T20:22:30Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=113.10.223.171&owner=Common+Community
100,2014-09-26T02:22:54Z,295102,114.96.140.114,2014-09-26T02:22:54Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=114.96.140.114&owner=Common+Community
100,2014-09-26T02:22:54Z,295101,82.99.57.32,2014-09-26T02:22:54Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=82.99.57.32&owner=Common+Community
100,2014-09-26T02:22:54Z,295100,153.121.58.243,2014-09-26T02:22:54Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=153.121.58.243&owner=Common+Community
54,2014-09-26T02:22:54Z,295099,67.229.128.88,2014-09-30T16:09:30Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=67.229.128.88&owner=Common+Community
100,2014-09-25T15:57:20Z,294950,42.120.145.23,2014-09-25T15:57:20Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=42.120.145.23&owner=Common+Community
100,2014-09-25T15:57:20Z,294949,75.127.84.182,2014-09-25T15:57:20Z,Common Community,5,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=75.127.84.182&owner=Common+Community
